T Cv
1.569972 1.500657
1.568402 1.500626
1.566834 1.500601
1.565267 1.500618
1.563702 1.500627
1.562138 1.500660
1.560576 1.500674
1.559016 1.500677
1.557457 1.500653
1.555899 1.500624
1.554343 1.500679
1.552789 1.500683
1.551236 1.500670
1.549685 1.500660
1.548135 1.500698
1.546587 1.500708
1.545040 1.500691
1.543495 1.500648
1.541952 1.500681
1.540410 1.500721
1.538870 1.500672
1.537331 1.500666
1.535793 1.500675
1.534258 1.500625
1.532723 1.500606
1.531191 1.500591
1.529659 1.500621
1.528130 1.500629
1.526602 1.500596
1.525075 1.500620
1.523550 1.500622
1.522026 1.500606
1.520504 1.500624
1.518984 1.500644
1.517465 1.500607
1.515947 1.500632
1.514431 1.500711
1.512917 1.500687
1.511404 1.500605
1.509893 1.500614
1.508383 1.500685
1.506874 1.500681
1.505368 1.500698
1.503862 1.500740
1.502358 1.500698
1.500856 1.500687
1.499355 1.500682
1.497856 1.500646
1.496358 1.500644
1.494862 1.500633
1.493367 1.500605
1.491873 1.500643
1.490381 1.500657
1.488891 1.500605
1.487402 1.500611
1.485915 1.500667
1.484429 1.500695
1.482944 1.500666
1.481461 1.500594
1.479980 1.500601
1.478500 1.500628
1.477021 1.500584
1.475544 1.500582
1.474069 1.500596
1.472595 1.500613
1.471122 1.500644
1.469651 1.500609
1.468181 1.500582
1.466713 1.500558
1.465247 1.500548
1.463781 1.500596
1.462318 1.500634
1.460855 1.500620
1.459394 1.500617
1.457935 1.500584
1.456477 1.500548
1.455021 1.500563
1.453566 1.500557
1.452112 1.500583
1.450660 1.500620
1.449209 1.500591
1.447760 1.500612
1.446312 1.500628
1.444866 1.500698
1.443421 1.500712
1.441978 1.500645
1.440536 1.500609
1.439095 1.500628
1.437656 1.500636
1.436218 1.500650
1.434782 1.500647
1.433347 1.500606
1.431914 1.500584
1.430482 1.500638
1.429052 1.500622
1.427623 1.500580
1.426195 1.500571
1.424769 1.500565
1.423344 1.500582
1.421921 1.500589
1.420499 1.500586
1.419078 1.500602
1.417659 1.500599
1.416242 1.500619
1.414825 1.500657
1.413410 1.500672
1.411997 1.500641
1.410585 1.500580
1.409174 1.500558
1.407765 1.500573
1.406358 1.500595
1.404951 1.500594
1.403546 1.500589
1.402143 1.500573
1.400741 1.500586
1.399340 1.500606
1.397940 1.500582
1.396542 1.500555
1.395146 1.500563
1.393751 1.500607
1.392357 1.500602
1.390965 1.500561
1.389574 1.500555
1.388184 1.500602
1.386796 1.500642
1.385409 1.500594
1.384024 1.500569
1.382640 1.500586
1.381257 1.500614
1.379876 1.500634
1.378496 1.500632
1.377117 1.500657
1.375740 1.500662
1.374365 1.500613
1.372990 1.500584
1.371617 1.500618
1.370246 1.500616
1.368875 1.500617
1.367507 1.500605
1.366139 1.500618
1.364773 1.500623
1.363408 1.500614
1.362045 1.500612
1.360683 1.500606
1.359322 1.500579
1.357963 1.500574
1.356605 1.500620
1.355248 1.500633
1.353893 1.500586
1.352539 1.500559
1.351186 1.500542
1.349835 1.500555
1.348485 1.500539
1.347137 1.500546
1.345790 1.500552
1.344444 1.500556
1.343100 1.500557
1.341756 1.500589
1.340415 1.500571
1.339074 1.500563
1.337735 1.500563
1.336397 1.500567
1.335061 1.500612
1.333726 1.500658
1.332392 1.500640
1.331060 1.500593
1.329729 1.500578
1.328399 1.500577
1.327071 1.500602
1.325744 1.500597
1.324418 1.500574
1.323093 1.500532
