Ecin Epot Etot Temp Pre
2.628907 -4.409300 -1.780394 2.052774 66.302681
2.528399 -4.313916 -1.785517 2.050721 68.249780
2.500889 -4.291457 -1.790568 2.048671 68.850546
2.547885 -4.343450 -1.795565 2.046622 66.654400
2.610279 -4.411042 -1.800763 2.044575 65.162764
2.563903 -4.369873 -1.805969 2.042531 66.382664
2.537884 -4.348921 -1.811037 2.040488 66.314493
2.553835 -4.369946 -1.816111 2.038448 66.146642
2.570457 -4.391736 -1.821278 2.036409 65.485067
2.549482 -4.375854 -1.826372 2.034373 67.896441
2.626117 -4.457679 -1.831562 2.032339 64.667001
2.614947 -4.451771 -1.836824 2.030306 65.869147
2.576498 -4.418523 -1.842025 2.028276 65.643831
2.556008 -4.403117 -1.847109 2.026248 66.723678
2.601971 -4.454265 -1.852294 2.024221 63.787216
2.531958 -4.389421 -1.857463 2.022197 65.607872
2.479369 -4.341818 -1.862448 2.020175 66.864273
2.470399 -4.337777 -1.867378 2.018155 68.214473
2.523169 -4.395556 -1.872388 2.016137 65.189189
2.545422 -4.422873 -1.877451 2.014121 65.103529
2.557274 -4.439827 -1.882553 2.012106 65.059644
2.499029 -4.386645 -1.887616 2.010094 67.778425
2.520572 -4.413204 -1.892633 2.008084 64.505379
2.480057 -4.377699 -1.897642 2.006076 66.129904
2.517441 -4.420048 -1.902607 2.004070 64.294200
2.576754 -4.484474 -1.907720 2.002066 63.639572
2.604295 -4.517218 -1.912923 2.000064 63.160767
2.540342 -4.458424 -1.918082 1.998064 65.638378
2.521497 -4.444633 -1.923135 1.996066 65.412388
2.568889 -4.497083 -1.928194 1.994070 62.905700
2.528763 -4.462118 -1.933355 1.992076 64.547772
2.497663 -4.435987 -1.938323 1.990084 65.378776
2.533249 -4.476648 -1.943399 1.988094 62.926259
2.482672 -4.431070 -1.948398 1.986105 65.385412
2.488367 -4.441736 -1.953369 1.984119 63.631180
2.412098 -4.370427 -1.958328 1.982135 66.273903
2.386767 -4.349818 -1.963051 1.980153 67.020543
2.444650 -4.412547 -1.967897 1.978173 64.485819
2.462090 -4.434913 -1.972822 1.976195 63.952615
2.426424 -4.404137 -1.977714 1.974219 66.427031
2.442250 -4.424814 -1.982564 1.972244 65.347733
2.456549 -4.444004 -1.987455 1.970272 63.591777
2.424123 -4.416496 -1.992373 1.968302 64.302154
2.431070 -4.428251 -1.997182 1.966334 63.972633
2.413970 -4.416032 -2.002062 1.964367 65.421503
2.448097 -4.454982 -2.006885 1.962403 63.732471
2.492058 -4.503905 -2.011847 1.960440 62.709071
2.464137 -4.480988 -2.016851 1.958480 63.749463
2.430206 -4.451912 -2.021707 1.956521 64.490099
2.435030 -4.461605 -2.026576 1.954565 64.001355
2.447852 -4.479309 -2.031457 1.952610 62.460660
2.445736 -4.482089 -2.036353 1.950658 62.777735
2.468937 -4.510201 -2.041264 1.948707 61.759526
2.429356 -4.475564 -2.046208 1.946758 63.230698
2.390672 -4.441646 -2.050975 1.944812 64.626673
2.463894 -4.519752 -2.055858 1.942867 60.155616
2.391680 -4.452418 -2.060738 1.940924 63.380309
2.427763 -4.493266 -2.065503 1.938983 60.943230
2.456309 -4.526745 -2.070436 1.937044 60.363689
2.440632 -4.515953 -2.075321 1.935107 61.788315
2.413712 -4.493923 -2.080210 1.933172 62.216785
2.383241 -4.468208 -2.084967 1.931239 63.623879
2.417470 -4.507263 -2.089793 1.929308 61.227917
2.386809 -4.481397 -2.094588 1.927378 62.603121
2.394660 -4.494022 -2.099362 1.925451 61.659251
2.380848 -4.485018 -2.104169 1.923525 62.317525
2.344828 -4.453711 -2.108883 1.921602 63.725263
2.341098 -4.454669 -2.113571 1.919680 63.601623
2.373357 -4.491610 -2.118253 1.917761 62.560888
2.391899 -4.514953 -2.123054 1.915843 62.002111
2.374835 -4.502651 -2.127817 1.913927 62.785232
2.349732 -4.482291 -2.132559 1.912013 62.942376
2.309441 -4.446667 -2.137226 1.910101 63.832916
2.340226 -4.482065 -2.141838 1.908191 62.412217
2.394971 -4.541558 -2.146587 1.906283 60.429922
2.366575 -4.517985 -2.151410 1.904376 62.170164
2.364383 -4.520446 -2.156064 1.902472 62.123661
2.387581 -4.548464 -2.160883 1.900570 60.627963
2.325725 -4.491307 -2.165582 1.898669 63.226693
2.324016 -4.494224 -2.170207 1.896770 62.824024
