T Cv
1.212797 1.501327
1.211584 1.501456
1.210372 1.501477
1.209162 1.501376
1.207953 1.501541
1.206745 1.501583
1.205538 1.501541
1.204333 1.501507
1.203128 1.501352
1.201925 1.501393
1.200723 1.501409
1.199522 1.501466
1.198323 1.501362
1.197125 1.501288
1.195927 1.501317
1.194732 1.501377
1.193537 1.501450
1.192343 1.501480
1.191151 1.501419
1.189960 1.501350
1.188770 1.501332
1.187581 1.501356
1.186393 1.501280
1.185207 1.501339
1.184022 1.501268
1.182838 1.501305
1.181655 1.501410
1.180473 1.501481
1.179293 1.501624
1.178114 1.501532
1.176935 1.501430
1.175759 1.501408
1.174583 1.501299
1.173408 1.501289
1.172235 1.501400
1.171063 1.501543
1.169891 1.501293
1.168722 1.501355
1.167553 1.501463
1.166385 1.501343
1.165219 1.501219
1.164054 1.501224
1.162890 1.501362
1.161727 1.501398
1.160565 1.501457
1.159404 1.501466
1.158245 1.501279
1.157087 1.501323
1.155930 1.501285
1.154774 1.501269
1.153619 1.501441
1.152465 1.501469
1.151313 1.501451
1.150162 1.501434
1.149011 1.501570
1.147862 1.501398
1.146715 1.501422
1.145568 1.501497
1.144422 1.501504
1.143278 1.501552
1.142135 1.501395
1.140992 1.501279
1.139851 1.501321
1.138712 1.501464
1.137573 1.501352
1.136435 1.501329
1.135299 1.501414
1.134164 1.501505
1.133029 1.501402
1.131896 1.501436
1.130765 1.501563
1.129634 1.501483
1.128504 1.501349
1.127376 1.501189
1.126248 1.501263
1.125122 1.501322
1.123997 1.501346
1.122873 1.501289
1.121750 1.501351
1.120628 1.501364
1.119508 1.501371
1.118388 1.501453
1.117270 1.501383
1.116152 1.501467
1.115036 1.501273
1.113921 1.501466
1.112807 1.501439
1.111695 1.501407
1.110583 1.501362
1.109472 1.501396
1.108363 1.501403
1.107254 1.501259
1.106147 1.501372
1.105041 1.501519
1.103936 1.501418
1.102832 1.501352
1.101729 1.501360
1.100627 1.501411
1.099527 1.501270
1.098427 1.501392
1.097329 1.501412
1.096232 1.501363
1.095135 1.501407
1.094040 1.501425
1.092946 1.501480
1.091853 1.501599
1.090761 1.501503
1.089671 1.501499
1.088581 1.501426
1.087492 1.501344
1.086405 1.501474
1.085318 1.501466
1.084233 1.501459
1.083149 1.501278
1.082066 1.501266
1.080984 1.501318
1.079903 1.501402
1.078823 1.501379
1.077744 1.501413
1.076666 1.501382
1.075590 1.501342
1.074514 1.501340
1.073439 1.501371
1.072366 1.501369
1.071294 1.501333
1.070222 1.501244
1.069152 1.501154
1.068083 1.501165
1.067015 1.501304
1.065948 1.501389
1.064882 1.501474
1.063817 1.501421
1.062753 1.501475
1.061690 1.501559
1.060629 1.501442
1.059568 1.501304
1.058509 1.501297
1.057450 1.501364
1.056393 1.501355
1.055336 1.501426
1.054281 1.501484
1.053227 1.501428
1.052173 1.501357
1.051121 1.501408
1.050070 1.501348
1.049020 1.501241
1.047971 1.501535
1.046923 1.501456
1.045876 1.501306
1.044830 1.501373
1.043785 1.501302
1.042742 1.501321
1.041699 1.501368
1.040657 1.501400
1.039617 1.501384
1.038577 1.501452
1.037538 1.501489
1.036501 1.501360
1.035464 1.501360
1.034429 1.501335
1.033394 1.501452
1.032361 1.501558
1.031329 1.501577
1.030297 1.501400
1.029267 1.501318
1.028238 1.501357
1.027210 1.501463
1.026182 1.501444
1.025156 1.501501
1.024131 1.501423
1.023107 1.501304
1.022084 1.501152
1.021062 1.501182
1.020041 1.501443
1.019021 1.501460
1.018002 1.501421
1.016984 1.501405
1.015967 1.501404
1.014951 1.501236
1.013936 1.501299
1.012922 1.501293
1.011909 1.501292
1.010897 1.501286
1.009886 1.501302
1.008876 1.501252
1.007867 1.501333
1.006859 1.501349
1.005852 1.501417
1.004847 1.501520
1.003842 1.501452
1.002838 1.501366
1.001835 1.501362
1.000833 1.501328
0.999832 1.501251
0.998833 1.501271
0.997834 1.501329
0.996836 1.501336
0.995839 1.501323
0.994843 1.501408
0.993848 1.501336
0.992855 1.501204
0.991862 1.501265
0.990870 1.501382
0.989879 1.501489
0.988889 1.501339
0.987900 1.501322
0.986912 1.501363
0.985925 1.501339
0.984939 1.501476
0.983955 1.501500
0.982971 1.501476
0.981988 1.501237
0.981006 1.501298
0.980025 1.501402
0.979045 1.501333
0.978066 1.501458
0.977087 1.501466
0.976110 1.501452
0.975134 1.501451
0.974159 1.501355
0.973185 1.501341
0.972212 1.501314
0.971240 1.501286
0.970268 1.501391
0.969298 1.501353
0.968329 1.501428
0.967360 1.501409
0.966393 1.501504
0.965427 1.501522
0.964461 1.501403
0.963497 1.501466
0.962533 1.501468
0.961571 1.501346
0.960609 1.501375
0.959649 1.501396
0.958689 1.501379
0.957730 1.501489
0.956773 1.501617
0.955816 1.501539
0.954860 1.501384
0.953905 1.501485
0.952951 1.501404
0.951998 1.501346
0.951046 1.501324
0.950095 1.501339
0.949145 1.501437
0.948196 1.501379
0.947248 1.501219
0.946301 1.501288
0.945354 1.501330
0.944409 1.501194
0.943464 1.501179
0.942521 1.501232
0.941578 1.501213
0.940637 1.501371
0.939696 1.501364
0.938757 1.501339
0.937818 1.501263
0.936880 1.501334
0.935943 1.501448
0.935007 1.501421
0.934072 1.501239
0.933138 1.501279
0.932205 1.501409
0.931273 1.501344
0.930341 1.501417
0.929411 1.501361
0.928482 1.501262
0.927553 1.501356
0.926626 1.501382
0.925699 1.501389
0.924773 1.501279
0.923849 1.501197
0.922925 1.501316
0.922002 1.501303
0.921080 1.501378
0.920159 1.501509
0.919239 1.501431
0.918319 1.501486
0.917401 1.501481
0.916484 1.501413
0.915567 1.501342
0.914652 1.501444
0.913737 1.501335
0.912823 1.501422
0.911910 1.501389
0.910998 1.501354
0.910087 1.501489
0.909177 1.501406
0.908268 1.501364
0.907360 1.501392
0.906453 1.501584
0.905546 1.501526
0.904641 1.501399
0.903736 1.501415
0.902832 1.501308
0.901929 1.501382
0.901027 1.501273
0.900126 1.501255
0.899226 1.501441
0.898327 1.501431
0.897429 1.501415
0.896531 1.501537
0.895635 1.501468
0.894739 1.501345
0.893844 1.501290
0.892951 1.501305
0.892058 1.501341
0.891166 1.501351
0.890274 1.501371
0.889384 1.501382
0.888495 1.501377
0.887606 1.501333
0.886719 1.501329
0.885832 1.501440
0.884946 1.501464
0.884061 1.501289
0.883177 1.501312
0.882294 1.501442
0.881412 1.501470
0.880530 1.501409
0.879650 1.501395
0.878770 1.501330
0.877891 1.501415
0.877013 1.501396
0.876136 1.501389
0.875260 1.501444
0.874385 1.501573
0.873511 1.501456
0.872637 1.501311
0.871764 1.501369
0.870893 1.501450
0.870022 1.501384
0.869152 1.501215
0.868283 1.501133
0.867414 1.501242
0.866547 1.501144
0.865680 1.501362
0.864815 1.501429
0.863950 1.501368
0.863086 1.501348
0.862223 1.501393
0.861361 1.501437
0.860499 1.501376
0.859639 1.501386
0.858779 1.501359
0.857920 1.501459
0.857062 1.501481
0.856205 1.501473
0.855349 1.501364
0.854494 1.501261
0.853639 1.501366
0.852786 1.501288
0.851933 1.501325
0.851081 1.501333
0.850230 1.501475
0.849380 1.501474
0.848530 1.501409
