Ecin Epot Etot Temp Pre
3.256564 -3.875061 -0.618497 2.121681 99.749807
3.270544 -3.895535 -0.624992 2.119559 98.566351
3.204056 -3.835555 -0.631499 2.117440 100.922929
3.219601 -3.857519 -0.637918 2.115322 98.304813
3.142121 -3.786432 -0.644311 2.113207 100.828513
3.196614 -3.847252 -0.650638 2.111094 96.700941
3.113027 -3.769984 -0.656957 2.108983 100.232786
3.184433 -3.847659 -0.663226 2.106874 97.130902
3.161153 -3.830799 -0.669646 2.104767 99.460895
3.141370 -3.817305 -0.675935 2.102662 99.309229
3.170250 -3.852488 -0.682238 2.100559 98.391712
3.202772 -3.891374 -0.688603 2.098459 98.564423
3.247466 -3.942512 -0.695047 2.096360 96.903619
3.195702 -3.897225 -0.701523 2.094264 99.238503
3.184113 -3.892070 -0.707957 2.092170 95.962626
3.119566 -3.833742 -0.714176 2.090078 99.228463
3.252809 -3.973414 -0.720604 2.087987 92.646352
3.191532 -3.918608 -0.727076 2.085899 95.731548
3.097446 -3.830814 -0.733367 2.083814 98.796347
3.088726 -3.828253 -0.739528 2.081730 98.304956
3.102395 -3.848071 -0.745676 2.079648 99.411455
3.199522 -3.951535 -0.752014 2.077568 96.687044
3.189501 -3.947909 -0.758408 2.075491 96.953743
3.146874 -3.911656 -0.764782 2.073415 97.880927
3.105311 -3.876335 -0.771024 2.071342 96.993389
3.078601 -3.855767 -0.777166 2.069271 99.349447
3.129636 -3.912991 -0.783355 2.067201 98.781466
3.220972 -4.010698 -0.789726 2.065134 94.756354
3.129171 -3.925316 -0.796145 2.063069 97.258461
3.119977 -3.922281 -0.802304 2.061006 96.453235
3.176004 -3.984653 -0.808649 2.058945 94.244913
3.111342 -3.926303 -0.814961 2.056886 96.357143
3.110575 -3.931707 -0.821132 2.054829 95.281022
3.044513 -3.871824 -0.827311 2.052774 97.947601
3.086672 -3.920090 -0.833417 2.050721 94.105651
3.083245 -3.922830 -0.839584 2.048671 94.952434
3.085014 -3.930800 -0.845786 2.046622 95.552069
3.114470 -3.966360 -0.851890 2.044575 95.325130
3.137920 -3.996163 -0.858243 2.042531 93.616397
3.026800 -3.891192 -0.864393 2.040488 97.708284
3.065596 -3.936055 -0.870460 2.038448 95.700244
3.092171 -3.968792 -0.876621 2.036409 95.165973
3.084292 -3.967081 -0.882789 2.034373 96.393601
3.084663 -3.973640 -0.888978 2.032339 96.494052
3.043523 -3.938681 -0.895158 2.030306 97.896351
3.079511 -3.980788 -0.901277 2.028276 94.890072
3.015616 -3.922998 -0.907382 2.026248 97.907566
3.098028 -4.011473 -0.913445 2.024221 93.881802
3.094821 -4.014581 -0.919760 2.022197 92.938018
2.962904 -3.888659 -0.925755 2.020175 96.934277
3.004480 -3.936187 -0.931707 2.018155 95.385334
3.030048 -3.967849 -0.937801 2.016137 94.931909
3.022926 -3.966726 -0.943800 2.014121 94.596719
2.974988 -3.924848 -0.949860 2.012106 95.399152
2.973529 -3.929290 -0.955761 2.010094 93.334228
2.944019 -3.905688 -0.961669 2.008084 95.073125
2.968832 -3.936441 -0.967610 2.006076 95.180337
3.085925 -4.059573 -0.973647 2.004070 91.526378
3.003155 -3.982997 -0.979842 2.002066 95.761708
3.003749 -3.989486 -0.985738 2.000064 94.557428
3.034191 -4.026061 -0.991870 1.998064 93.754050
3.011788 -4.009632 -0.997844 1.996066 95.675715
3.007716 -4.011659 -1.003944 1.994070 95.892536
3.032754 -4.042674 -1.009920 1.992076 94.030229
3.048958 -4.065026 -1.016068 1.990084 91.376129
2.964036 -3.986076 -1.022040 1.988094 94.547590
3.000380 -4.028422 -1.028042 1.986105 92.346843
3.001060 -4.035126 -1.034065 1.984119 91.763034
2.915438 -3.955422 -1.039984 1.982135 94.666995
2.874737 -3.920489 -1.045752 1.980153 96.555992
2.948037 -3.999648 -1.051611 1.978173 92.750338
2.925088 -3.982583 -1.057495 1.976195 94.523395
2.983168 -4.046559 -1.063391 1.974219 92.648358
3.002806 -4.072210 -1.069404 1.972244 91.289424
3.030629 -4.106057 -1.075429 1.970272 89.046894
2.917923 -3.999339 -1.081416 1.968302 93.969920
2.958391 -4.045613 -1.087222 1.966334 90.818649
2.931838 -4.025036 -1.093198 1.964367 93.152848
2.915551 -4.014539 -1.098988 1.962403 92.915015
3.017005 -4.121917 -1.104911 1.960440 88.976224
3.008441 -4.119414 -1.110973 1.958480 90.756822
2.968852 -4.085787 -1.116935 1.956521 92.168547
2.995614 -4.118495 -1.122882 1.954565 90.519501
2.987510 -4.116420 -1.128911 1.952610 90.371889
2.961010 -4.095837 -1.134827 1.950658 90.020666
2.905436 -4.046174 -1.140738 1.948707 91.799159
2.886560 -4.033074 -1.146514 1.946758 91.009825
2.865544 -4.017787 -1.152243 1.944812 92.002454
2.897030 -4.055036 -1.158006 1.942867 90.627977
2.916630 -4.080499 -1.163869 1.940924 88.664278
2.821198 -3.990805 -1.169607 1.938983 92.287490
2.881896 -4.057177 -1.175281 1.937044 89.252035
2.901316 -4.082436 -1.181120 1.935107 89.296088
2.879300 -4.066146 -1.186846 1.933172 90.803070
2.881971 -4.074645 -1.192674 1.931239 89.359124
2.796815 -3.995183 -1.198368 1.929308 93.031913
2.885028 -4.088997 -1.203969 1.927378 88.649617
2.884810 -4.094584 -1.209774 1.925451 92.215504
2.947832 -4.163405 -1.215573 1.923525 89.632339
2.956502 -4.178030 -1.221528 1.921602 88.768623
2.934125 -4.161525 -1.227400 1.919680 90.513019
2.936915 -4.170252 -1.233337 1.917761 89.397032
2.906755 -4.145904 -1.239148 1.915843 89.360754
2.819023 -4.063898 -1.244875 1.913927 91.843674
2.858137 -4.108631 -1.250495 1.912013 89.770030
2.858871 -4.115164 -1.256293 1.910101 90.824743
2.842311 -4.104265 -1.261955 1.908191 91.413425
2.858266 -4.125929 -1.267664 1.906283 90.329496
2.801360 -4.074737 -1.273377 1.904376 91.752489
2.756244 -4.035131 -1.278887 1.902472 92.496789
2.752650 -4.037062 -1.284412 1.900570 93.486684
2.866746 -4.156720 -1.289974 1.898669 89.071987
2.865684 -4.161429 -1.295745 1.896770 88.795420
2.794808 -4.096253 -1.301445 1.894874 90.985065
2.835872 -4.142887 -1.307015 1.892979 89.415805
2.870578 -4.183319 -1.312741 1.891086 90.210098
2.899452 -4.217977 -1.318525 1.889195 88.885420
2.841919 -4.166247 -1.324327 1.887305 89.456274
2.800061 -4.129956 -1.329895 1.885418 90.732444
2.880217 -4.215814 -1.335597 1.883533 87.864942
2.894137 -4.235540 -1.341404 1.881649 87.645414
2.832346 -4.179455 -1.347109 1.879768 89.460235
2.802826 -4.155535 -1.352709 1.877888 88.657574
2.788217 -4.146540 -1.358323 1.876010 88.778149
2.767614 -4.131518 -1.363904 1.874134 87.627520
2.739962 -4.109358 -1.369396 1.872260 88.806691
2.763965 -4.138871 -1.374906 1.870388 87.005056
2.742665 -4.123056 -1.380391 1.868517 90.141788
2.839962 -4.225975 -1.386013 1.866649 85.412020
2.797172 -4.188814 -1.391642 1.864782 88.540144
2.771886 -4.169121 -1.397235 1.862917 88.278411
2.763003 -4.165723 -1.402720 1.861054 87.869673
