T Cv
1.291702 1.500569
1.290410 1.500585
1.289120 1.500548
1.287830 1.500533
1.286543 1.500545
1.285256 1.500564
1.283971 1.500576
1.282687 1.500565
1.281404 1.500552
1.280123 1.500580
1.278843 1.500574
1.277564 1.500536
1.276286 1.500517
1.275010 1.500521
1.273735 1.500515
1.272461 1.500521
1.271189 1.500524
1.269918 1.500518
1.268648 1.500506
1.267379 1.500530
1.266112 1.500572
1.264846 1.500562
1.263581 1.500525
1.262317 1.500531
1.261055 1.500549
1.259794 1.500534
1.258534 1.500514
1.257275 1.500509
1.256018 1.500521
1.254762 1.500536
1.253507 1.500552
1.252254 1.500574
1.251002 1.500565
1.249751 1.500579
1.248501 1.500593
1.247252 1.500570
1.246005 1.500544
1.244759 1.500527
1.243514 1.500536
1.242271 1.500535
1.241029 1.500555
1.239788 1.500554
1.238548 1.500541
1.237309 1.500522
1.236072 1.500525
1.234836 1.500534
1.233601 1.500517
1.232367 1.500518
1.231135 1.500562
1.229904 1.500593
1.228674 1.500597
1.227445 1.500590
1.226218 1.500580
1.224992 1.500578
1.223767 1.500570
1.222543 1.500573
1.221320 1.500576
1.220099 1.500573
1.218879 1.500574
1.217660 1.500569
1.216442 1.500560
1.215226 1.500556
1.214011 1.500547
1.212797 1.500532
1.211584 1.500540
1.210372 1.500567
1.209162 1.500563
1.207953 1.500567
1.206745 1.500604
1.205538 1.500621
1.204333 1.500620
1.203128 1.500642
1.201925 1.500632
1.200723 1.500619
1.199522 1.500617
1.198323 1.500619
1.197125 1.500589
1.195927 1.500566
1.194732 1.500552
1.193537 1.500554
1.192343 1.500574
1.191151 1.500573
1.189960 1.500543
1.188770 1.500532
1.187581 1.500567
1.186393 1.500621
1.185207 1.500643
1.184022 1.500647
1.182838 1.500648
1.181655 1.500614
1.180473 1.500579
1.179293 1.500569
1.178114 1.500616
1.176935 1.500644
1.175759 1.500621
1.174583 1.500604
1.173408 1.500624
1.172235 1.500624
1.171063 1.500645
1.169891 1.500693
1.168722 1.500710
1.167553 1.500695
1.166385 1.500670
1.165219 1.500632
1.164054 1.500593
1.162890 1.500606
1.161727 1.500619
1.160565 1.500610
1.159404 1.500629
1.158245 1.500619
1.157087 1.500587
1.155930 1.500593
1.154774 1.500575
1.153619 1.500605
1.152465 1.500657
1.151313 1.500651
1.150162 1.500628
1.149011 1.500645
1.147862 1.500649
