pasos x w correlacion
493 0.736714 1.009518 0.115995
494 0.736714 0.979866 0.114819
495 0.732109 1.003388 0.113524
496 0.647966 1.059780 0.112383
497 0.576611 1.044658 0.111195
498 0.660210 0.949615 0.109991
499 0.634974 1.016477 0.108832
500 0.544301 1.054920 0.000000
501 0.492300 1.027318 0.999919
502 0.443602 1.023050 0.997312
503 0.385205 1.024495 1.000292
504 0.454436 0.971354 0.991324
505 0.531974 0.962480 0.991441
506 0.553829 0.988205 0.983282
507 0.488534 1.034616 0.999264
508 0.459716 1.013757 1.022060
509 0.396728 1.027340 1.004426
510 0.421335 0.989985 1.007776
511 0.503671 0.962635 1.000838
512 0.549800 0.975995 1.002194
513 0.549800 0.945527 0.999033
514 0.617841 0.961055 1.000637
515 0.592721 1.015321 1.000576
516 0.526914 1.037527 0.999995
517 0.526914 0.973700 1.000049
518 0.433091 1.046065 1.000051
519 0.495633 0.971376 0.997663
520 0.559267 0.966993 1.001948
521 0.603046 0.974879 0.997646
522 0.633012 0.981651 0.990069
523 0.710947 0.948977 1.008912
524 0.765645 0.960421 1.003276
525 0.667159 1.073104 1.000365
526 0.650853 1.010804 0.999202
527 0.734660 0.943595 0.990457
528 0.683233 1.037132 1.000758
529 0.764537 0.942843 1.000170
530 0.670959 1.069473 0.993951
531 0.616608 1.035609 0.987687
532 0.677886 0.961114 0.979168
533 0.644209 1.022512 1.020278
534 0.742567 0.934073 0.990034
535 0.771941 0.978002 1.008606
536 0.834501 0.950992 1.008294
537 0.807880 1.022102 0.988915
538 0.820139 0.990070 0.998602
539 0.744096 1.061279 1.016302
540 0.823899 0.939352 0.986440
541 0.911936 0.926438 0.994851
542 0.981802 0.935987 1.004926
543 0.970916 1.010685 0.993684
544 0.997867 0.973819 0.985275
545 1.022675 0.975248 1.016307
546 0.925971 1.098803 1.018568
547 0.853896 1.066244 0.995249
548 0.812290 1.035269 1.004853
549 0.824580 0.989992 0.984255
550 0.846025 0.982246 1.000216
551 0.830567 1.013042 1.016274
552 0.878460 0.959901 1.007650
553 0.881765 0.997095 0.997119
554 0.783163 1.085546 0.988390
555 0.749937 1.025796 1.005899
556 0.742390 1.005647 1.007916
557 0.652492 1.064706 1.000962
558 0.557326 1.059256 0.994694
559 0.651143 0.944889 0.999420
560 0.692419 0.972652 1.000094
561 0.756890 0.954356 0.997579
562 0.776333 0.985205 1.001802
563 0.845180 0.945711 1.005053
564 0.894812 0.957739 0.999628
565 0.797711 1.085643 0.997595
566 0.823008 0.979709 0.986078
567 0.799731 1.019065 1.005917
568 0.757497 1.033431 0.983984
569 0.834272 0.940725 1.017136
570 0.920582 0.927066 0.994628
571 0.927207 0.993897 0.994943
572 1.022056 0.911702 0.991481
573 1.009540 1.012795 0.987545
574 0.976131 1.033725 0.987233
575 0.975842 1.000283 1.004467
576 0.883642 1.089503 1.015716
577 0.830250 1.046817 0.994235
578 0.902155 0.939616 1.019994
579 0.923917 0.980326 1.016478
580 0.839207 1.077536 0.985657
581 0.800269 1.032434 0.985649
582 0.716279 1.065759 1.006464
583 0.677132 1.027649 0.983715
584 0.763710 0.939533 0.974742
585 0.706955 1.042617 1.017310
586 0.719098 0.991379 1.025416
587 0.669112 1.035305 0.991629
588 0.714539 0.969061 1.011715
589 0.660756 1.037676 1.008595
590 0.650114 1.006999 1.007953
591 0.664980 0.990273 0.987912
592 0.764028 0.931676 0.978247
593 0.787866 0.981673 1.018443
594 0.721833 1.051108 0.980036
595 0.668130 1.038028 0.966633
596 0.760091 0.936439 0.996345
597 0.676016 1.062230 1.014564
598 0.631962 1.029230 0.965467
599 0.630073 1.001193 0.971514
600 0.715015 0.944474 0.977794
601 0.673446 1.029279 0.969268
602 0.653777 1.013138 1.003961
603 0.663448 0.993651 0.957599
604 0.722333 0.960020 1.059606
605 0.740904 0.986505 1.046627
606 0.704517 1.026646 0.983395
607 0.658101 1.032129 1.048395
608 0.701856 0.970686 1.038356
609 0.756835 0.960695 1.007931
610 0.692016 1.048076 0.996155
611 0.600342 1.061028 0.967952
612 0.672802 0.954922 0.982235
613 0.575695 1.062494 1.022909
614 0.639402 0.962034 0.975055
615 0.695334 0.963361 1.009274
616 0.655083 1.027550 0.997069
617 0.739384 0.942916 1.011546
618 0.687909 1.037418 1.025282
619 0.592511 1.062978 1.014450
620 0.498688 1.052523 0.992161
621 0.541752 0.977846 1.014561
622 0.477837 1.033120 1.019594
623 0.414258 1.028765 0.985787
624 0.341206 1.027978 1.009629
625 0.346330 0.998240 0.992995
626 0.407675 0.977138 0.975693
627 0.487649 0.964832 1.007287
628 0.393497 1.042353 1.011288
629 0.457112 0.973307 0.978505
630 0.471252 0.993458 1.022907
631 0.479238 0.996212 1.005976
632 0.553389 0.962439 0.973506
633 0.642445 0.948145 1.028214
634 0.573092 1.043052 1.003291
635 0.633143 0.964430 0.982992
636 0.547645 1.051773 1.019282
637 0.612128 0.963298 1.009693
638 0.621885 0.993998 0.993434
639 0.612073 1.006072 0.979057
640 0.701965 0.942649 1.016798
641 0.701965 0.967484 0.997587
642 0.656441 1.031403 0.989639
643 0.596030 1.038556 1.000067
644 0.593500 1.001506 0.989567
645 0.539485 1.031072 0.987694
646 0.577844 0.978798 1.028432
647 0.612070 0.979843 1.010721
648 0.559575 1.031230 1.015214
649 0.506738 1.028571 0.985424
650 0.503610 1.001582 1.001033
651 0.511109 0.996203 1.014884
652 0.478414 1.016308 1.005936
653 0.412259 1.029900 0.997903
654 0.356114 1.021804 1.000077
655 0.404050 0.981946 0.995950
656 0.434138 0.987469 1.001153
657 0.388156 1.019085 0.988804
658 0.301041 1.030475 0.995257
659 0.372854 0.976093 1.010583
660 0.281729 1.030274 0.996199
661 0.185885 1.022662 1.001096
662 0.209589 0.995324 0.996282
663 0.230399 0.995432 1.006982
664 0.285873 0.985782 1.003310
665 0.325220 0.988049 0.999791
666 0.398822 0.973707 0.999923
667 0.383523 1.006002 1.005479
668 0.287808 1.032650 0.997673
669 0.196237 1.022410 1.002167
670 0.150090 1.008023 0.997935
671 0.099060 1.006377 1.003433
672 0.100351 0.999871 1.000782
673 0.014554 1.004941 0.998615
674 0.105661 0.994539 1.001221
675 0.073156 1.002910 0.999667
676 0.031062 1.002196 0.999047
677 0.129603 0.992115 0.993348
678 0.043385 1.007485 1.006921
679 0.003568 1.000935 0.998439
680 0.033491 0.999446 1.003043
681 -0.013956 1.000464 0.999901
682 -0.070449 0.997619 0.999941
683 -0.134797 0.993418 1.000116
684 -0.213416 0.986405 0.997353
685 -0.161647 1.009756 0.998113
686 -0.250166 0.981938 0.989151
687 -0.211307 1.009007 0.995085
688 -0.197790 1.002769 1.008788
689 -0.281549 0.980126 0.986698
690 -0.181616 1.023413 1.003135
691 -0.157845 1.004043 1.007534
692 -0.139219 1.002770 1.007858
693 -0.043443 1.008786 1.005953
694 -0.134983 0.991867 1.000055
695 -0.183956 0.992221 1.000401
696 -0.124967 1.009153 0.997061
697 -0.044957 1.006821 0.997898
698 0.000555 1.001011 0.990171
699 -0.088855 0.996060 0.984809
700 -0.118058 0.996983 1.011173
701 -0.084436 1.003410 0.976499
702 -0.139708 0.993825 1.021310
703 -0.170315 0.995267 1.002972
704 -0.137291 1.005092 1.008296
705 -0.180819 0.993100 1.006457
706 -0.174419 1.001137 1.004223
707 -0.230424 0.988727 0.998048
708 -0.309079 0.979006 0.990392
709 -0.240318 1.019068 1.009337
710 -0.176489 1.013391 0.998961
711 -0.178219 0.999693 1.003398
712 -0.091153 1.011796 0.998795
713 -0.069988 1.001707 1.000852
714 0.004779 1.002441 0.998198
715 0.070800 0.997508 1.002029
716 0.031776 1.002003 0.999861
717 -0.038200 0.999775 0.997405
718 -0.000391 1.000730 1.002945
719 0.098248 0.995185 0.996065
720 0.080569 1.001582 0.988282
721 0.118055 0.996284 0.988259
722 0.051857 1.005640 1.014349
723 -0.010343 1.001292 1.003557
724 0.042317 0.999158 1.002167
725 0.038963 1.000136 0.995543
726 0.131211 0.992182 1.009805
727 0.144307 0.998198 0.997255
728 0.159087 0.997760 0.992084
729 0.140828 1.002742 0.993335
730 0.123527 1.002289 0.991785
731 0.188198 0.989971 0.985423
732 0.144823 1.007249 0.976033
733 0.168075 0.996369 0.984158
734 0.199286 0.994284 0.995721
735 0.290185 0.977999 1.033504
736 0.230360 1.015693 1.021072
737 0.198471 1.006861 0.993533
738 0.260152 0.985955 0.972944
739 0.181204 1.017575 0.985082
740 0.136576 1.007116 1.025885
741 0.201425 0.989100 0.998547
