pasos x w correlacion
273 0.080996 1.248381 -0.023377
274 1.055910 0.574536 -0.023047
275 1.847346 0.316994 -0.023897
276 1.731468 1.230418 -0.023763
277 1.731468 0.445284 -0.024712
278 1.302591 1.916726 -0.030688
279 1.117862 1.250525 -0.027751
280 1.117862 0.572178 -0.024745
281 1.117862 0.301440 -0.024763
282 0.912687 1.231595 -0.025661
283 0.529893 1.317986 -0.027215
284 0.671041 0.918738 -0.026292
285 1.138432 0.655167 -0.027155
286 1.138432 0.522067 -0.027187
287 0.417066 1.752497 -0.024071
288 -0.037751 1.090089 -0.021291
289 0.784509 0.735640 -0.022079
290 0.819819 0.972073 -0.021447
291 1.634693 0.367857 -0.024288
292 1.670614 0.942364 -0.023571
293 1.547655 1.218789 -0.022686
294 0.728507 2.540233 -0.024567
295 -0.119938 1.294558 -0.025237
296 -0.409772 0.926108 -0.022769
297 -0.015198 1.087456 -0.022190
298 -0.225501 0.975008 -0.024749
299 0.125980 1.017644 -0.030633
300 -0.476608 0.899747 -0.034389
301 -0.245186 1.087106 -0.037640
302 -0.157201 1.017860 -0.041540
303 -0.066469 1.010199 -0.041036
304 0.882687 0.678847 -0.042968
305 0.882687 0.280434 -0.042262
306 0.944609 0.944996 -0.039567
307 0.944609 0.644947 -0.034690
308 0.721854 1.203948 -0.029740
309 1.341411 0.527739 -0.029294
310 0.463057 2.208868 -0.030576
311 1.032014 0.653564 -0.033950
312 0.675832 1.355475 -0.036703
313 -0.305857 1.199135 -0.038539
314 -0.290139 1.004695 -0.041338
315 0.226936 1.016475 -0.046767
316 -0.073458 1.023320 -0.051697
317 -0.073458 0.721581 -0.056481
318 0.921110 0.656047 -0.057943
319 1.046815 0.883654 -0.058092
320 0.820338 1.235449 -0.059432
321 0.388775 1.298103 -0.057963
322 0.613910 0.893267 -0.057769
323 -0.348857 1.136090 -0.057872
324 -0.437452 0.965768 -0.057136
325 0.436079 1.000600 -0.055038
326 0.890652 0.739672 -0.055634
327 0.890652 0.477354 -0.057462
328 0.890652 0.851481 -0.056734
329 0.048677 1.485046 -0.058704
330 -0.026917 1.000823 -0.057498
331 0.151952 0.988880 -0.056770
332 0.784082 0.743901 -0.056436
333 0.471236 1.216965 -0.055219
334 0.005860 1.117411 -0.045589
335 -0.529954 0.869003 -0.037566
336 -0.786462 0.844648 -0.027926
337 -0.786462 0.408094 -0.019129
338 -0.528611 1.184767 -0.011807
339 -0.528611 0.585042 -0.006125
340 0.275399 1.107154 -0.005260
341 0.275399 0.502040 -0.006679
342 1.078494 0.580624 -0.007264
343 1.078494 0.249296 -0.010747
344 1.078494 0.317679 -0.010460
345 0.449416 1.617023 -0.008628
346 -0.020600 1.106028 -0.006606
347 0.443800 0.906407 -0.007148
348 -0.214331 1.078434 -0.009012
349 -0.252449 0.991143 -0.011337
350 0.360637 0.967380 -0.011721
351 -0.390088 0.989006 -0.010866
352 -0.243446 1.047547 -0.016296
353 0.280648 0.990299 -0.020951
354 0.736198 0.793254 -0.027502
355 -0.233100 1.276122 -0.032132
356 0.150182 1.016018 -0.039621
357 -0.705588 0.788479 -0.045337
358 -0.352336 1.205455 -0.049549
359 -0.239021 1.034072 -0.056626
360 0.319987 0.977624 -0.058765
361 0.596454 0.881013 -0.060590
362 0.005646 1.194661 -0.063015
363 0.005646 0.911372 -0.065858
364 0.544084 0.862433 -0.067595
365 -0.361980 1.085997 -0.061904
366 -0.664815 0.856009 -0.057087
367 -0.978332 0.772922 -0.054630
368 -1.145299 0.837539 -0.052091
369 -1.054933 1.104522 -0.052310
370 -1.054933 0.674147 -0.052702
371 -0.302438 1.666470 -0.050395
372 -0.162389 1.033085 -0.044527
373 -0.230842 0.986631 -0.038616
374 -0.377239 0.956465 -0.034717
375 -0.404065 0.989575 -0.029827
376 -0.272439 1.045529 -0.029792
377 0.284494 0.996649 -0.027672
378 0.284494 0.640676 -0.026837
379 1.013245 0.623215 -0.023411
380 1.013245 0.536813 -0.018886
381 1.013245 0.506932 -0.011935
382 1.013245 0.313199 -0.006216
383 1.057161 0.955556 -0.001928
384 0.272439 1.684862 0.008667
385 0.918546 0.680619 0.015933
386 0.258217 1.474804 0.021239
387 0.573138 0.877301 0.020390
388 -0.299417 1.126841 0.018639
389 -0.528092 0.909723 0.022471
390 0.087130 1.145275 0.023487
391 -0.627155 0.824592 0.021946
392 -0.934874 0.786367 0.024216
393 0.021973 1.547673 0.028072
394 -0.870724 0.684656 0.029225
395 -0.595782 1.223360 0.027072
396 -0.595782 0.357199 0.025535
397 -0.811884 0.858903 0.023545
398 -0.248115 1.348236 0.020729
399 0.403974 0.950453 0.022798
400 0.672506 0.865425 0.021829
401 0.672506 0.326991 0.019749
402 0.102084 1.247225 0.016239
403 0.666402 0.805063 0.016667
404 0.627613 1.025414 0.015314
405 -0.167364 1.200747 0.013205
406 -0.167364 0.955750 0.011431
407 -0.254555 0.981774 0.011015
408 0.742943 0.783815 0.018668
409 1.026246 0.778327 0.022673
410 1.026246 0.268839 0.027776
411 0.605853 1.409255 0.031702
412 0.186621 1.180710 0.037423
413 0.611347 0.844122 0.043246
414 0.704703 0.940418 0.046446
415 0.704703 0.351397 0.050403
416 0.704703 0.597896 0.054576
417 0.596210 1.073120 0.055825
418 0.596210 0.661425 0.052907
419 0.005463 1.194488 0.047408
420 0.825098 0.711501 0.043990
421 0.825098 0.353265 0.038497
422 0.803888 1.017426 0.032957
423 0.803888 0.394892 0.025863
424 0.169744 1.361669 0.017307
425 -0.424238 0.927203 0.005496
426 0.458022 0.985207 -0.003090
427 -0.459273 0.999426 -0.006075
428 -0.459273 0.422774 -0.008185
429 -0.370312 1.037590 -0.013127
430 -1.247566 0.491819 -0.015486
431 -1.247566 0.299407 -0.019638
432 -1.247566 0.217342 -0.019421
433 -0.927091 1.416886 -0.023029
434 -1.295175 0.664321 -0.025182
435 -1.474105 0.780552 -0.024776
436 -1.474105 0.376932 -0.024216
437 -1.474105 0.299424 -0.023394
438 -1.458815 1.022675 -0.027428
439 -1.588672 0.820478 -0.030404
440 -1.909696 0.570336 -0.029175
441 -1.909696 0.183685 -0.031386
442 -1.443098 2.186283 -0.033126
443 -1.156438 1.451492 -0.037255
444 -1.127476 1.033626 -0.039836
445 -0.653127 1.525487 -0.040367
446 -0.653127 0.954122 -0.041205
447 -1.428755 0.446024 -0.045817
448 -0.786309 2.037103 -0.050247
449 -0.786309 0.397854 -0.053212
450 -0.263558 1.315754 -0.052868
451 -0.430219 0.943826 -0.055249
452 -0.430219 0.474449 -0.057773
453 -1.007660 0.660244 -0.054097
454 -0.825434 1.181776 -0.054081
455 -0.588885 1.182083 -0.058857
456 -0.208289 1.163812 -0.056744
457 0.623005 0.841663 -0.052466
458 0.220008 1.185146 -0.048920
459 -0.023621 1.024211 -0.047411
460 -0.023621 0.873144 -0.047170
461 -0.682485 0.792459 -0.044450
462 -1.320048 0.528153 -0.040623
463 -1.320048 0.371996 -0.035059
464 -1.320048 0.364346 -0.031247
465 -1.712058 0.551944 -0.025097
466 -2.315744 0.296483 -0.015846
467 -1.773400 3.030908 -0.006413
468 -1.011322 2.889511 0.001205
469 -1.114078 0.896552 0.009781
470 -0.511002 1.632355 0.017043
471 -0.521287 0.994706 0.023287
472 -0.521287 0.664053 0.025125
473 -0.521287 0.469398 0.030167
474 0.266366 1.105607 0.033837
475 -0.614368 0.857916 0.037991
476 -0.350291 1.135840 0.036681
477 0.161840 1.049439 0.036011
478 0.981658 0.625796 0.035853
479 0.380902 1.505739 0.039303
480 -0.516617 0.940914 0.041428
481 0.064119 1.140414 0.039183
482 0.064119 0.675688 0.034799
483 0.170843 0.987540 0.032884
484 0.170843 0.663393 0.032870
485 -0.218299 0.990809 0.032148
486 -0.254524 0.991472 0.031011
487 0.049409 1.031662 0.030326
488 0.586566 0.842983 0.030039
489 0.026032 1.187311 0.030784
490 -0.858913 0.691753 0.031184
491 -0.858913 0.289520 0.033066
492 -0.463179 1.299004 0.029895
493 -0.590655 0.935037 0.024914
494 -0.319559 1.131312 0.023519
495 -0.365612 0.984347 0.018917
496 -0.365612 0.516008 0.021480
497 -1.079165 0.597224 0.023580
498 -0.243171 1.737995 0.021557
499 -0.495529 0.911004 0.020554
500 -0.495529 0.422994 0.000000
501 -0.495529 0.675110 0.991946
502 -0.495529 0.697752 0.764016
503 -1.079501 0.631355 1.029594
504 -0.387188 1.661471 0.418364
505 0.388195 0.999610 0.423319
506 0.606738 0.896983 0.263983
507 -0.046205 1.200812 0.941477
508 -0.334391 0.946635 5.493855
509 -0.964263 0.664319 1.360543
510 -0.718192 1.229984 1.560580
511 0.105167 1.287072 1.030616
512 0.566454 0.856496 0.763795
513 0.566454 0.378233 0.804738
514 0.566454 0.539615 1.143257
515 0.315256 1.117107 1.177422
516 -0.342814 0.990973 1.173955
517 0.140812 1.050059 0.868513
518 -0.797418 0.734898 1.117744
519 -0.172002 1.354111 1.066613
520 0.464339 0.911182 0.999209
521 0.902127 0.741477 0.988001
522 1.201788 0.729620 0.560939
523 1.201788 0.289295 0.928068
524 1.748772 0.446215 0.680676
525 0.763909 3.446374 0.474998
526 0.600848 1.117695 1.560764
527 1.438917 0.425397 0.822407
528 0.924650 1.836300 0.915258
529 0.924650 0.338815 0.746256
530 -0.011139 1.533307 0.263329
531 -0.554643 0.857484 0.337818
532 0.058138 1.164305 0.296842
533 -0.278634 0.963552 1.527561
534 0.704947 0.810863 0.867027
535 0.704947 0.778635 1.143224
536 1.330546 0.529035 0.969836
537 1.064333 1.375440 0.999685
538 1.186926 0.871104 0.979601
539 0.426496 1.846786 0.921589
540 1.224525 0.517482 1.123234
541 2.104892 0.230950 0.921082
542 2.803552 0.180024 1.082547
543 2.694693 1.348871 0.896582
544 2.964202 0.466470 0.641600
545 2.964202 0.464801 1.603226
546 1.997162 11.011262 0.986706
547 1.276406 3.253467 1.113895
548 0.860347 1.559722 0.895146
